first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
,18890000,,18890000,1,019,2,2021-10-15,1,285,70032036
1879-06-20,18790620,1879-06-20,18790620,1,035,9,1988-12-22,1,286,70032058
,18770500,,18770500,2,046,9,1988-12-22,1,287,70032109
1898-06-01,18980601,1898-06-01,18980601,1,006,9,1988-12-22,1,288,70032134
1898-01-01,18980101,1898-01-01,18980101,1,018,9,1983-03-01,1,289,70032167
1898-05-01,18980501,1898-05-01,18980501,1,051,9,1988-12-22,1,290,70032188
,18970400,,18970400,1,018,9,1988-12-22,1,291,70032210
1897-06-15,18970615,1897-06-15,18970615,1,046,9,1988-12-22,1,292,70032235
1898-11-01,18981101,1898-11-01,18981101,1,046,9,1988-12-22,1,293,70032258
1898-09-06,18980906,1898-09-06,18980906,1,046,2,2021-10-15,1,294,70032301
,18740000,,18740000,1,018,9,1989-01-06,1,295,70032315
1899-01-02,18990102,1899-01-02,18990102,1,039,9,1988-12-22,1,296,70032490
,18910500,,18910500,1,046,9,1988-12-22,1,297,70032516
,18980600,,18980600,1,009,9,1988-12-22,1,298,70032536
,18920000,,18920000,1,013,9,1988-12-22,1,299,70032595
,18740600,,18740600,1,046,9,2009-10-24,1,300,70032606
1899-02-08,18990208,1899-02-08,18990208,1,018,9,1984-11-03,1,301,70032664
,18890100,,18890100,1,017,9,1988-12-22,1,302,70032739
1890-05-01,18900501,1890-05-01,18900501,1,018,9,1989-01-06,1,303,70032894
,18920500,,18920500,1,015,9,2009-12-19,1,304,70032900
1897-12-10,18971210,1897-12-10,18971210,1,038,9,1988-12-21,1,306,70032964
1892-01-01,18920101,1892-01-01,18920101,1,017,9,1988-12-21,1,307,70032973
,18670700,,18670700,1,045,6,1999-11-02,1,308,70032982
1898-04-01,18980401,1898-04-01,18980401,1,051,9,1992-11-03,1,309,70033093
,18790100,,18790100,1,052,9,1992-11-03,1,311,70033152
1899-01-23,18990123,1899-01-23,18990123,1,051,9,1992-11-03,1,312,70033153
1896-10-01,18961001,1896-10-01,18961001,1,027,9,1992-11-03,1,313,70033231
1899-05-05,18990505,1899-05-05,18990505,1,027,9,1992-11-03,1,314,70033232
1899-05-05,18990505,1899-05-05,18990505,1,027,9,1992-11-03,1,315,70033233
1899-05-05,18990505,1899-05-05,18990505,1,027,9,1992-11-03,1,316,70033235
,18951000,,18951000,1,017,9,1992-11-03,1,318,70033327
1899-08-19,18990819,1899-08-19,18990819,1,015,9,1992-11-03,1,319,70033600
,18870100,,18870100,1,015,6,1999-11-02,1,320,70033707
1877-08-01,18770801,1877-08-01,18770801,1,004,9,1992-11-03,1,322,70033775
1853-01-01,18530101,1853-01-01,18530101,2,028,2,1998-12-28,1,323,70033902
1898-01-01,18980101,1898-01-01,18980101,2,028,9,1992-11-03,1,324,70033903
,18790100,,18790100,1,004,9,1992-11-03,1,325,70033944
,18990300,,18990300,1,026,9,2001-01-07,1,327,70033953
1895-11-01,18951101,1895-11-01,18951101,1,012,9,1992-11-03,1,328,70034161
,18660000,,18660000,1,006,9,1992-11-03,1,329,70034235
